,Source_airport,Destination_airport,Routes
1081,Mauritius,India,6
1082,South Korea,Singapore,6
1083,India,Russia,6
1084,India,Mauritius,6
1085,Reunion,France,6
1086,Dominican Republic,France,6
1087,French Polynesia,United States,6
1088,France,Reunion,6
1089,United States,French Polynesia,6
1090,Sudan,Ethiopia,6
1091,Japan,France,6
1092,Vietnam,France,6
1093,France,Netherlands Antilles,6
1094,France,Dominican Republic,6
1095,France,Japan,6
1096,France,Vietnam,6
1097,France,United Arab Emirates,6
1098,United Arab Emirates,France,6
1099,Ethiopia,Sudan,6
1100,Canada,Bahamas,6
1101,Saudi Arabia,United Kingdom,6
1102,Liberia,Cote d'Ivoire,6
1103,Burkina Faso,Belgium,6
1104,Kenya,Belgium,6
1105,United Kingdom,Saudi Arabia,6
1106,Togo,Belgium,6
1107,Bahamas,Canada,6
1108,Uganda,Belgium,6
1109,Belgium,Liberia,6
1110,Belgium,Burkina Faso,6
1111,Belgium,Burundi,6
1112,Belgium,Gambia,6
1113,Belgium,Cote d'Ivoire,6
1114,Gambia,Belgium,6
1115,Cote d'Ivoire,Belgium,6
1116,Cuba,Germany,6
1117,Austria,Bulgaria,6
1118,Austria,Serbia,6
1119,Bulgaria,Austria,6
1120,Serbia,Austria,6
1121,Germany,Cuba,6
1122,Canada,Japan,6
1123,Canada,Hong Kong,6
1124,Puerto Rico,Dominican Republic,6
1125,Japan,Canada,6
1126,United States,Jordan,6
1127,Hong Kong,Canada,6
1128,United States,Barbados,6
1129,Jordan,United States,6
1130,Ukraine,Georgia,6
1131,Georgia,Ukraine,6
1132,Turkey,Greece,6
1133,Greece,Turkey,6
1134,Belgium,India,6
1135,Moldova,Italy,6
1136,Italy,Moldova,6
1137,Cyprus,Russia,6
1138,Russia,Cyprus,6
1139,Netherlands Antilles,Venezuela,6
1140,Venezuela,Netherlands Antilles,6
1141,Burma,Thailand,6
1142,Thailand,Burma,6
1143,Argentina,Bolivia,6
1144,Philippines,Malaysia,6
1145,Macau,Philippines,6
1146,Philippines,Macau,6
1147,Philippines,Thailand,6
1148,Thailand,Philippines,6
1149,Malaysia,Philippines,6
1150,Serbia,Switzerland,6
1151,Switzerland,Serbia,6
1152,Mexico,Cuba,6
1153,Saudi Arabia,Bangladesh,6
1154,Bangladesh,Saudi Arabia,6
1155,Bangladesh,Thailand,6
1156,Thailand,Bangladesh,6
1158,Netherlands Antilles,Aruba,6
1159,Aruba,Netherlands Antilles,6
1160,Singapore,Cambodia,6
1162,Canada,Portugal,5
1163,Iraq,Jordan,5
1164,Jordan,Iraq,5
1165,Laos,Vietnam,5
1166,Vietnam,Laos,5
1167,Portugal,Denmark,5
1168,Denmark,Portugal,5
1169,New Caledonia,Australia,5
1170,Australia,New Caledonia,5
1171,Ukraine,Kazakhstan,5
1172,Kazakhstan,Ukraine,5
1173,Egypt,Syria,5
1174,Syria,Egypt,5
1175,Reunion,Mauritius,5
1176,Romania,Hungary,5
1177,Hungary,Romania,5
1178,Egypt,Libya,5
1179,Libya,Egypt,5
1180,Cambodia,South Korea,5
1181,South Korea,Cambodia,5
1182,Bhutan,India,5
1183,India,Bhutan,5
1184,Montenegro,Serbia,5
1185,Serbia,Montenegro,5
1186,Philippines,Australia,5
1187,Australia,Philippines,5
1188,Kuwait,Syria,5
1189,Egypt,Yemen,5
1190,Yemen,Egypt,5
1191,Iran,Germany,5
1192,Germany,Iran,5
1193,Israel,Spain,5
1194,Spain,Egypt,5
1195,Venezuela,Spain,5
1196,Egypt,Spain,5
1197,Spain,Israel,5
1198,Russia,Japan,5
1199,Japan,Russia,5
1200,Turkey,Netherlands,5
1201,Egypt,Netherlands,5
1202,Netherlands,Turkey,5
1203,Bahrain,Pakistan,5
1204,Paraguay,Brazil,5
1205,Russia,Bulgaria,5
1206,Bulgaria,Russia,5
1207,Nepal,United Arab Emirates,5
1208,United Arab Emirates,Kazakhstan,5
1209,Kazakhstan,United Arab Emirates,5
1210,Sudan,South Sudan,5
1211,South Sudan,Sudan,5
1212,Kenya,United Arab Emirates,5
1213,Maldives,Sri Lanka,5
1214,Malaysia,United Arab Emirates,5
1215,United Arab Emirates,Kenya,5
1216,United Arab Emirates,Malaysia,5
1217,Sudan,Egypt,5
1218,Egypt,Sudan,5
1219,Egypt,Jordan,5
1220,Jordan,Egypt,5
1221,Estonia,Norway,5
1222,Austria,Norway,5
1223,Norway,Estonia,5
1224,Norway,Austria,5
1225,China,Kazakhstan,5
1226,Kyrgyzstan,China,5
1227,Kazakhstan,China,5
1228,Hong Kong,Russia,5
1229,Russia,Hong Kong,5
1230,Argentina,Cuba,5
1231,Austria,United States,5
1232,Kazakhstan,Germany,5
1233,Liberia,Belgium,5
1235,United States,Austria,5
1236,United States,Ghana,5
1237,Germany,Kazakhstan,5
1238,Germany,Nigeria,5
1239,United States,Sweden,5
1240,Mali,Ghana,5
1241,Sweden,United States,5
1242,Ghana,United States,5
1243,Ghana,Mali,5
1244,Nigeria,Germany,5
1245,Cote d'Ivoire,Liberia,5
1246,Costa Rica,Honduras,5
1247,China,New Zealand,5
1248,Pakistan,China,5
1249,China,Pakistan,5
1250,New Zealand,China,5
1251,Lithuania,Sweden,5
1252,Sweden,Lithuania,5
1253,South Africa,Botswana,5
1254,Botswana,South Africa,5
1255,Ethiopia,Italy,5
1256,Israel,United Kingdom,5
1257,Singapore,United Kingdom,5
1258,United Kingdom,Israel,5
1259,United Kingdom,Singapore,5
1260,United Kingdom,Ukraine,5
1261,United Kingdom,Japan,5
1262,United Kingdom,Hong Kong,5
1263,United Kingdom,Gibraltar,5
1264,United Kingdom,Thailand,5
1265,United Kingdom,Nigeria,5
1266,United Kingdom,Jamaica,5
1267,Ukraine,United Kingdom,5
1268,Japan,United Kingdom,5
1269,Hong Kong,United Kingdom,5
1270,Gibraltar,United Kingdom,5
1271,Mexico,United Kingdom,5
1272,Thailand,United Kingdom,5
1273,Nigeria,United Kingdom,5
1274,Cuba,Italy,5
1275,Kenya,Italy,5
1276,Italy,United Arab Emirates,5
1277,Cyprus,Italy,5
1278,Italy,Cyprus,5
1279,United Arab Emirates,Italy,5
1280,Jordan,Italy,5
1281,Estonia,Sweden,5
1282,Finland,Italy,5
1283,Finland,Belgium,5
1284,Italy,Finland,5
1285,Belgium,Finland,5
1286,Sweden,Estonia,5
1287,Guatemala,El Salvador,5
1288,Venezuela,Colombia,5
1289,Colombia,Venezuela,5
1290,Colombia,Spain,5
1291,Spain,Colombia,5
1292,Argentina,Spain,5
1293,Spain,Argentina,5
1294,Mexico,Peru,5
1295,Peru,Mexico,5
1296,India,Ethiopia,5
1297,Ethiopia,India,5
1298,Netherlands Antilles,France,5
1299,Cambodia,Thailand,5
1300,Kenya,Rwanda,5
1301,Zambia,Kenya,5
1302,Zambia,Zimbabwe,5
1303,Malawi,Zambia,5
1304,Rwanda,Burundi,5
1305,Djibouti,Ethiopia,5
1306,Syria,Jordan,5
1307,Mexico,France,5
1308,France,Cameroon,5
1309,France,Mexico,5
1310,France,Egypt,5
1311,Thailand,Cambodia,5
1312,Burundi,Rwanda,5
1313,Lithuania,Germany,5
1314,Iran,Armenia,5
1315,Germany,Lithuania,5
1316,Armenia,Iran,5
1317,Saint Lucia,United States,5
1318,United States,Saint Lucia,5
1319,Spain,Hungary,5
1320,Dominican Republic,Puerto Rico,5
1321,United Kingdom,Bahrain,5
1322,Barbados,United States,5
1323,Bahrain,United Kingdom,5
1324,Bulgaria,Greece,5
1325,France,Greece,5
1326,Greece,Bulgaria,5
1327,Greece,France,5
1328,Greece,Russia,5
1329,Russia,Greece,5
1330,Moldova,Russia,5
1331,Russia,Moldova,5
1332,Israel,Italy,5
1333,Italy,Israel,5
1334,Norway,Russia,5
1335,Russia,Norway,5
1336,Bolivia,Argentina,5
1337,Brazil,Bolivia,5
1338,Kenya,South Sudan,5
1339,South Sudan,Kenya,5
1340,Afghanistan,India,5
1341,India,Afghanistan,5
1342,Cambodia,Singapore,5
1343,Gabon,Benin,5
1344,Senegal,Mali,5
1345,Benin,Gabon,5
1346,Mali,Senegal,5
1347,Yemen,Somalia,4
1349,Cape Verde,Spain,4
1350,Spain,Cape Verde,4
1352,Switzerland,Tunisia,4
1353,Tunisia,Switzerland,4
1354,El Salvador,Honduras,4
1355,Honduras,El Salvador,4
1356,Saudi Arabia,United States,4
1357,Saudi Arabia,Italy,4
1358,United States,Saudi Arabia,4
1359,Italy,Saudi Arabia,4
1360,Russia,Dominican Republic,4
1361,Dominican Republic,Russia,4
1362,Indonesia,Russia,4
1363,Singapore,United States,4
1364,United States,Singapore,4
1365,Turkey,Syria,4
1366,Syria,Turkey,4
1367,Qatar,China,4
1368,Qatar,Syria,4
1369,China,Qatar,4
1371,Australia,South Africa,4
1372,South Africa,Australia,4
1373,Turkey,Pakistan,4
1374,Pakistan,Turkey,4
1375,Georgia,Turkey,4
1376,Turkey,Georgia,4
1377,Croatia,Italy,4
1378,Italy,Croatia,4
1379,Macau,Japan,4
1380,Japan,Macau,4
1381,Japan,Turkey,4
1382,Turkey,Japan,4
1383,Laos,China,4
1384,China,Laos,4
1385,Turkey,Egypt,4
1386,Qatar,Egypt,4
1387,Egypt,Turkey,4
1388,Egypt,Qatar,4
1389,Malaysia,Pakistan,4
1390,Pakistan,Malaysia,4
1391,Madagascar,Comoros,4
1392,Comoros,Madagascar,4
1393,Ukraine,Hungary,4
1394,Hungary,Ukraine,4
1395,Israel,Switzerland,4
1396,Switzerland,Israel,4
1397,Costa Rica,El Salvador,4
1398,El Salvador,Costa Rica,4
1399,Peru,Costa Rica,4
1400,Poland,Switzerland,4
1401,Austria,Poland,4
1402,Poland,Austria,4
1403,Switzerland,Poland,4
1404,Tunisia,Libya,4
1405,Libya,Tunisia,4
1406,Peru,Ecuador,4
1407,Ecuador,Peru,4
1408,Ecuador,Venezuela,4
1409,Venezuela,Ecuador,4
1410,Macedonia,Italy,4
1411,Italy,Macedonia,4
1412,Kenya,Mozambique,4
1413,Mozambique,Kenya,4
1414,Congo (Kinshasa),Kenya,4
1415,Netherlands Antilles,Netherlands,4
1416,Netherlands,Netherlands Antilles,4
1417,Macau,South Korea,4
1418,South Korea,Macau,4
1419,Turkey,Serbia,4
1420,Belgium,Serbia,4
1421,Serbia,Turkey,4
1422,Netherlands,Belgium,4
1423,Indonesia,Saudi Arabia,4
1424,Slovenia,Germany,4
1425,Germany,Slovenia,4
1426,New Zealand,Japan,4
1428,Azerbaijan,Turkey,4
1429,Turkey,Azerbaijan,4
1430,Lebanon,Jordan,4
1431,Jordan,Lebanon,4
1432,Jordan,Yemen,4
1433,Yemen,Jordan,4
1434,Mauritius,Italy,4
1435,Italy,Mauritius,4
1436,Italy,Jordan,4
1437,Spain,Ecuador,4
1438,Hungary,Spain,4
1439,Spain,Jordan,4
1440,Jordan,Spain,4
1441,Philippines,United States,4
1442,Bahrain,Yemen,4
1443,Yemen,Bahrain,4
1444,South Korea,Indonesia,4
1445,Indonesia,South Korea,4
1446,Estonia,Russia,4
1447,Russia,Estonia,4
1448,Russia,Denmark,4
1449,Russia,Hungary,4
1450,Russia,Sweden,4
1451,Russia,Netherlands,4
1452,Denmark,Russia,4
1453,Hungary,Russia,4
1454,Sweden,Russia,4
1455,Netherlands,Russia,4
1456,Lithuania,Italy,4
1457,Estonia,United Kingdom,4
1458,Estonia,Germany,4
1459,United Kingdom,Estonia,4
1460,Germany,Estonia,4
1461,Italy,Lithuania,4
1462,Iceland,United Kingdom,4
1463,Iceland,United States,4
1464,United Kingdom,Iceland,4
1465,United States,Iceland,4
1466,Hungary,Bulgaria,4
1467,Bulgaria,Hungary,4
1468,Belgium,United Arab Emirates,4
1469,United Arab Emirates,Nepal,4
1470,United Arab Emirates,Belgium,4
1471,Gabon,Cameroon,4
1472,Gabon,Congo (Kinshasa),4
1473,Saudi Arabia,Ethiopia,4
1474,Italy,Ethiopia,4
1475,Congo (Kinshasa),Gabon,4
1476,Ethiopia,Djibouti,4
1477,Ethiopia,Saudi Arabia,4
1478,Iran,Iraq,4
1479,Iraq,Iran,4
1480,Czech Republic,United Arab Emirates,4
1481,Philippines,United Arab Emirates,4
1482,South Korea,United Arab Emirates,4
1483,United Arab Emirates,Czech Republic,4
1484,United Arab Emirates,Philippines,4
1485,United Arab Emirates,South Korea,4
1486,United Arab Emirates,Indonesia,4
1487,United Arab Emirates,Greece,4
1488,Greece,United Arab Emirates,4
1489,Lithuania,Ireland,4
1490,Switzerland,Ireland,4
1491,Ireland,Lithuania,4
1492,Ireland,Switzerland,4
1493,Lithuania,Norway,4
1494,Norway,Lithuania,4
1495,Norway,Italy,4
1496,Italy,Norway,4
1497,Uzbekistan,Kazakhstan,4
1498,Kazakhstan,Azerbaijan,4
1499,Azerbaijan,Kazakhstan,4
1500,Kazakhstan,Uzbekistan,4
1501,Zimbabwe,Zambia,4
1503,Mali,Cote d'Ivoire,4
1504,Cote d'Ivoire,Mali,4
1505,Northern Mariana Islands,Japan,4
1506,Netherlands,India,4
1507,China,Kyrgyzstan,4
1508,Cyprus,United Arab Emirates,4
1509,Singapore,Sri Lanka,4
1510,Sri Lanka,Singapore,4
1511,Spain,Cuba,4
1512,United Kingdom,Cuba,4
1513,Cuba,United Kingdom,4
1514,Micronesia,Guam,4
1515,Nigeria,United States,4
1516,Marshall Islands,Micronesia,4
1517,Micronesia,Marshall Islands,4
1518,United States,Nigeria,4
1519,Azerbaijan,Germany,4
1520,Guam,Micronesia,4
1521,Germany,Azerbaijan,4
1522,Belgium,Mali,4
1523,Belgium,Ghana,4
1524,Mali,Belgium,4
1525,Dominican Republic,Panama,4
1526,Panama,Dominican Republic,4
1527,Panama,Ecuador,4
1528,Panama,Venezuela,4
1529,Ecuador,Panama,4
1530,Venezuela,Panama,4
1531,Czech Republic,Sweden,4
1532,Sweden,Czech Republic,4
1533,China,Egypt,4
1534,Egypt,China,4
1535,Equatorial Guinea,Cameroon,4
1536,Cameroon,Equatorial Guinea,4
1537,Trinidad and Tobago,Grenada,4
1538,Grenada,Trinidad and Tobago,4
1539,Lithuania,Belgium,4
1540,Latvia,Denmark,4
1541,Latvia,Sweden,4
1542,Belgium,Lithuania,4
1543,Denmark,Latvia,4
1544,Sweden,Latvia,4
1545,Taiwan,Australia,4
1546,Australia,Taiwan,4
1547,Indonesia,Brunei,4
1548,Brunei,Indonesia,4
1550,United Kingdom,Qatar,4
1551,Qatar,United Kingdom,4
1552,Trinidad and Tobago,Barbados,4
1553,Kenya,United Kingdom,4
1554,Maldives,United Kingdom,4
1555,United Kingdom,Kenya,4
1556,United Kingdom,Jordan,4
1557,Hungary,Serbia,4
1558,Belgium,Denmark,4
1559,Denmark,Belgium,4
1560,Jordan,United Kingdom,4
1561,Belarus,Germany,4
1562,Germany,Belarus,4
1563,Vietnam,Germany,4
1564,Brazil,Italy,4
1565,Germany,Vietnam,4
1566,Italy,Kenya,4
1567,Italy,Cuba,4
1568,Italy,Brazil,4
1569,Netherlands,Kazakhstan,4
1570,Kazakhstan,Netherlands,4
1571,Poland,Finland,4
1572,China,Finland,4
1573,Norway,Finland,4
1574,Finland,Poland,4
1575,Finland,China,4
1576,Finland,Norway,4
1577,Costa Rica,Colombia,4
1578,El Salvador,Nicaragua,4
1579,Brazil,Colombia,4
1580,Colombia,Costa Rica,4
1581,Colombia,Brazil,4
1582,Congo (Brazzaville),Congo (Kinshasa),4
1583,Western Sahara,Morocco,4
1584,Congo (Kinshasa),Congo (Brazzaville),4
1586,Morocco,Western Sahara,4
1587,Paraguay,Argentina,4
1588,Argentina,Paraguay,4
1589,Panama,Nicaragua,4
1590,Mexico,Colombia,4
1591,Colombia,Mexico,4
1592,Cambodia,Malaysia,4
1593,Malaysia,Cambodia,4
1594,Malaysia,Brunei,4
1595,Brunei,Malaysia,4
1596,Switzerland,India,4
1597,Austria,India,4
1598,Turkey,India,4
1599,India,Switzerland,4
1600,India,Austria,4
1601,India,Turkey,4
1602,Croatia,France,4
1603,Madagascar,France,4
1604,Israel,France,4
1605,Zambia,Malawi,4
1606,Saudi Arabia,France,4
1607,Brazil,France,4
1608,Martinique,France,4
1609,Mayotte,Comoros,4
1610,Cameroon,France,4
1611,France,Croatia,4
1612,France,Israel,4
1613,France,Saudi Arabia,4
1614,France,Brazil,4
1615,France,Martinique,4
1616,France,India,4
1617,France,Thailand,4
1618,Egypt,France,4
1619,India,France,4
1620,Thailand,France,4
1621,Lebanon,France,4
1622,Canada,South Korea,4
1623,Canada,Turks and Caicos Islands,4
1624,Turks and Caicos Islands,Canada,4
1625,South Korea,Canada,4
1626,Switzerland,Hungary,4
1627,Germany,Kenya,4
1628,Germany,Mexico,4
1629,Mexico,Germany,4
1630,Hungary,Switzerland,4
1631,Saint Kitts and Nevis,United States,4
1632,United States,Saint Kitts and Nevis,4
1633,Russia,Georgia,4
1634,Georgia,Russia,4
1635,Belgium,Greece,4
1636,Serbia,Greece,4
1637,Greece,Belgium,4
1638,Greece,Serbia,4
1639,Italy,India,4
1640,India,Italy,4
1641,India,Japan,4
1643,British Virgin Islands,Puerto Rico,4
1644,Cameroon,Chad,4
1645,Cuba,Dominican Republic,4
1646,Dominican Republic,Netherlands Antilles,4
1647,Bolivia,Brazil,4
1648,Kenya,Uganda,4
1649,Costa Rica,Panama,4
1650,Nicaragua,Costa Rica,4
1651,Panama,Costa Rica,4
1652,China,Tajikistan,4
1654,Tajikistan,Kazakhstan,4
1655,Kazakhstan,Tajikistan,4
1656,Bangladesh,Nepal,4
1657,Saint Lucia,Martinique,4
1658,Guadeloupe,Martinique,4
1659,Martinique,Saint Lucia,4
1660,Martinique,Guadeloupe,4
1661,Montenegro,Russia,4
1662,Russia,Montenegro,4
1663,Singapore,Burma,4
1664,Burma,Singapore,4
1666,Romania,Moldova,4
1667,Turkey,Moldova,4
1668,Moldova,Romania,4
1669,Moldova,Turkey,4
1670,Burkina Faso,Mali,4
1671,Burkina Faso,Cote d'Ivoire,4
1672,Cote d'Ivoire,Burkina Faso,4
1673,Romania,Ukraine,3
1674,Ukraine,Romania,3
1675,Russia,Indonesia,3
1676,Portugal,Venezuela,3
1677,Venezuela,Portugal,3
1678,Dominican Republic,United Kingdom,3
1679,United Kingdom,Dominican Republic,3
1680,Turkey,Libya,3
1681,Libya,Turkey,3
1682,Gambia,United Kingdom,3
1683,United Kingdom,Gambia,3
1684,Philippines,Saudi Arabia,3
1685,Saudi Arabia,Philippines,3
1686,Denmark,Thailand,3
1687,Romania,Belgium,3
1688,Belgium,Romania,3
1689,Russia,Jordan,3
1690,Jordan,Russia,3
1691,Russia,Syria,3
1692,Italy,Qatar,3
1693,Turkey,Qatar,3
1694,Qatar,Italy,3
1695,Qatar,Turkey,3
1696,Syria,Qatar,3
1697,Ukraine,Denmark,3
1698,Denmark,Ukraine,3
1699,South Africa,Tanzania,3
1700,Tanzania,South Africa,3
1701,Uruguay,Paraguay,3
1702,Paraguay,Uruguay,3
1703,Philippines,Qatar,3
1704,Qatar,Philippines,3
1705,Canada,Pakistan,3
1706,Pakistan,India,3
1707,Pakistan,Canada,3
1708,Pakistan,Spain,3
1709,India,Pakistan,3
1710,Canada,Saint Pierre and Miquelon,3
1711,Saint Pierre and Miquelon,Canada,3
1712,Macedonia,Turkey,3
1713,Turkey,Romania,3
1714,Turkey,Belgium,3
1715,Turkey,Sweden,3
1716,Romania,Turkey,3
1717,Belgium,Turkey,3
1718,Sweden,Turkey,3
1719,Turkey,Macedonia,3
1720,Czech Republic,Slovakia,3
1721,Slovakia,Czech Republic,3
1722,Romania,Greece,3
1723,Greece,Romania,3
1724,French Polynesia,New Zealand,3
1725,New Zealand,French Polynesia,3
1726,Egypt,Greece,3
1727,Egypt,Nigeria,3
1728,Belgium,Egypt,3
1729,Greece,Egypt,3
1730,Nigeria,Egypt,3
1731,Malaysia,Saudi Arabia,3
1732,Malaysia,South Africa,3
1733,Saudi Arabia,Malaysia,3
1734,South Africa,Malaysia,3
1735,Egypt,Thailand,3
1736,Thailand,Egypt,3
1737,Romania,Lebanon,3
1738,Turkey,Lebanon,3
1739,Egypt,Lebanon,3
1740,Lebanon,Romania,3
1741,Lebanon,Turkey,3
1742,Lebanon,Egypt,3
1743,Madagascar,South Africa,3
1744,South Africa,Madagascar,3
1745,Comoros,Mayotte,3
1746,Czech Republic,Hungary,3
1747,Hungary,Czech Republic,3
1748,Hungary,Belgium,3
1749,Belgium,Hungary,3
1750,Israel,Czech Republic,3
1751,Czech Republic,Israel,3
1752,Switzerland,Ukraine,3
1753,Switzerland,South Africa,3
1754,Switzerland,Thailand,3
1755,Czech Republic,Switzerland,3
1756,Ukraine,Switzerland,3
1757,Switzerland,Greece,3
1758,South Africa,Switzerland,3
1759,Switzerland,Czech Republic,3
1760,Thailand,Switzerland,3
1761,Greece,Switzerland,3
1762,Costa Rica,Peru,3
1763,Nicaragua,El Salvador,3
1764,Libya,Jordan,3
1765,Jordan,Libya,3
1766,Netherlands Antilles,Saint Kitts and Nevis,3
1767,Switzerland,Cameroon,3
1768,Kenya,Switzerland,3
1769,South Korea,Germany,3
1770,Germany,South Korea,3
1771,Cameroon,Switzerland,3
1772,Portugal,Luxembourg,3
1773,Luxembourg,Portugal,3
1774,Nigeria,Benin,3
1775,Romania,Netherlands,3
1776,Mexico,Netherlands,3
1777,Congo (Kinshasa),Zambia,3
1778,Hungary,Netherlands,3
1779,Belgium,Netherlands,3
1780,Netherlands,Romania,3
1781,Netherlands,Cuba,3
1782,Netherlands,Hungary,3
1783,Turkey,South Korea,3
1784,South Korea,Turkey,3
1785,South Korea,Guam,3
1786,Guam,South Korea,3
1787,Serbia,Netherlands,3
1788,Saudi Arabia,Indonesia,3
1789,Slovenia,Serbia,3
1790,Serbia,Slovenia,3
1791,Singapore,Italy,3
1792,Italy,Singapore,3
1793,Kuwait,Lebanon,3
1794,Kuwait,Jordan,3
1795,Lebanon,Kuwait,3
1796,Jordan,Kuwait,3
1797,Ukraine,Azerbaijan,3
1798,Azerbaijan,Ukraine,3
1799,Yemen,Qatar,3
1800,Kuwait,Qatar,3
1801,Qatar,Yemen,3
1802,Qatar,Kuwait,3
1803,Pakistan,Iran,3
1804,Iran,Pakistan,3
1805,Italy,Tanzania,3
1806,Italy,Maldives,3
1807,Spain,Peru,3
1808,Spain,Senegal,3
1809,Peru,Spain,3
1810,Senegal,Spain,3
1811,Uzbekistan,Ukraine,3
1812,Uzbekistan,South Korea,3
1813,Uzbekistan,Kyrgyzstan,3
1814,Ukraine,Uzbekistan,3
1815,South Korea,Uzbekistan,3
1816,Kyrgyzstan,Uzbekistan,3
1817,Greece,Netherlands,3
1818,Netherlands,Greece,3
1819,Bolivia,Chile,3
1820,Chile,Bolivia,3
1821,Norway,Belgium,3
1822,Malta,Netherlands,3
1823,Belgium,Norway,3
1824,Yemen,Djibouti,3
1825,Djibouti,Yemen,3
1826,Vanuatu,Fiji,3
1827,Vanuatu,Solomon Islands,3
1828,Fiji,Vanuatu,3
1829,Fiji,Kiribati,3
1830,Solomon Islands,Vanuatu,3
1831,Kiribati,Fiji,3
1832,Afghanistan,Turkey,3
1833,Turkey,Afghanistan,3
1834,Bulgaria,Romania,3
1835,Bulgaria,Netherlands,3
1836,Romania,Bulgaria,3
1837,Kenya,Burundi,3
1838,Togo,Mali,3
1839,South Africa,Ethiopia,3
1840,Mali,Togo,3
1841,Ethiopia,South Africa,3
1842,United Arab Emirates,Ireland,3
1843,United Arab Emirates,Ethiopia,3
1844,Indonesia,United Arab Emirates,3
1845,Ethiopia,United Arab Emirates,3
1846,Ghana,Cote d'Ivoire,3
1847,Cote d'Ivoire,Ghana,3
1848,Portugal,Ireland,3
1849,Ireland,Portugal,3
1850,Ireland,Netherlands,3
1851,Netherlands,Ireland,3
1852,Czech Republic,Denmark,3
1853,Norway,Switzerland,3
1854,Norway,Portugal,3
1855,Norway,Ireland,3
1856,Norway,Turkey,3
1857,Switzerland,Norway,3
1858,Portugal,Norway,3
1859,Ireland,Norway,3
1860,Denmark,Czech Republic,3
1861,Turkey,Norway,3
1862,Namibia,Angola,3
1863,Portugal,Angola,3
1864,Angola,Namibia,3
1865,Angola,Portugal,3
1866,Angola,South Africa,3
1867,United Arab Emirates,Angola,3
1868,South Africa,Angola,3
1869,Guinea-Bissau,Senegal,3
1870,Senegal,Guinea-Bissau,3
1871,Senegal,Gambia,3
1872,Benin,Cote d'Ivoire,3
1873,Guinea,Cote d'Ivoire,3
1874,Gambia,Senegal,3
1875,Cote d'Ivoire,Benin,3
1876,Cote d'Ivoire,Guinea,3
1877,Northern Mariana Islands,South Korea,3
1878,South Korea,Northern Mariana Islands,3
1879,Japan,Northern Mariana Islands,3
1880,Nigeria,Netherlands,3
1881,South Africa,United States,3
1882,United States,Senegal,3
1883,Senegal,United States,3
1884,India,Netherlands,3
1885,United States,South Africa,3
1886,Netherlands,Nigeria,3
1887,Australia,Solomon Islands,3
1888,Mauritius,Germany,3
1889,Germany,Mauritius,3
1890,Congo (Brazzaville),Benin,3
1891,South Africa,Congo (Kinshasa),3
1892,Benin,Congo (Brazzaville),3
1893,Benin,Congo (Kinshasa),3
1894,Congo (Kinshasa),South Africa,3
1895,China,Iran,3
1896,Israel,Cyprus,3
1897,Bulgaria,Cyprus,3
1898,Cyprus,Israel,3
1899,Cyprus,Bulgaria,3
1900,Cyprus,Syria,3
1901,United Arab Emirates,Cyprus,3
1902,Nepal,Hong Kong,3
1903,Hong Kong,Nepal,3
1904,Hong Kong,Germany,3
1905,Hong Kong,United Arab Emirates,3
1906,Hong Kong,New Zealand,3
1907,Germany,Hong Kong,3
1908,Sri Lanka,Thailand,3
1909,Thailand,Sri Lanka,3
1910,United Arab Emirates,Hong Kong,3
1911,Russia,Cuba,3
1912,Cuba,Russia,3
1913,Cuba,Spain,3
1914,Northern Mariana Islands,Guam,3
1915,Cook Islands,United States,3
1916,Norway,United States,3
1917,United States,Cook Islands,3
1918,Kuwait,United States,3
1919,Saudi Arabia,Eritrea,3
1920,United States,Kuwait,3
1921,Azerbaijan,Turkmenistan,3
1922,Guam,Northern Mariana Islands,3
1923,United States,Norway,3
1924,Eritrea,Saudi Arabia,3
1925,Turkmenistan,Azerbaijan,3
1926,Puerto Rico,Panama,3
1927,Costa Rica,Guatemala,3
1928,Panama,Puerto Rico,3
1929,Nicaragua,Guatemala,3
1930,Guatemala,Costa Rica,3
1931,Mongolia,China,3
1932,China,Mongolia,3
1933,China,Korea,3
1934,China,Nepal,3
1935,Nepal,China,3
1936,Korea,China,3
1937,Netherlands Antilles,Trinidad and Tobago,3
1938,Trinidad and Tobago,Netherlands Antilles,3
1939,Latvia,Lithuania,3
1940,Latvia,Belgium,3
1941,Lithuania,Latvia,3
1942,Belgium,Latvia,3
1943,Canada,Taiwan,3
1944,Austria,Thailand,3
1945,Taiwan,Canada,3
1946,Thailand,Austria,3
1947,Thailand,Netherlands,3
1948,Netherlands,Thailand,3
1949,Bahrain,Jordan,3
1950,Jordan,Bahrain,3
1951,Pakistan,Bangladesh,3
1952,Hong Kong,Bangladesh,3
1953,Bangladesh,Pakistan,3
1954,Australia,East Timor,3
1955,East Timor,Australia,3
1956,Jersey,Switzerland,3
1957,Switzerland,Jersey,3
1958,Guernsey,Jersey,3
1959,United Kingdom,Malaysia,3
1960,United Kingdom,Azerbaijan,3
1961,United Kingdom,Syria,3
1962,United Kingdom,Lebanon,3
1963,Malaysia,United Kingdom,3
1964,Azerbaijan,United Kingdom,3
1965,Syria,United Kingdom,3
1966,Lebanon,United Kingdom,3
1967,Saint Kitts and Nevis,Antigua and Barbuda,3
1968,Serbia,United Kingdom,3
1969,Serbia,Hungary,3
1970,Turks and Caicos Islands,Bahamas,3
1971,Bahamas,Turks and Caicos Islands,3
1972,United Kingdom,Serbia,3
